ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",784672,0,0.4667,0.5158,0.0175,610718,0.7306,0.2694,0.0445,0.1417,0.0634,0.0184,0.0017,
"2",784672,0,0.4906,0.4932,0.0162,609706,0.6129,0.3871,0.0629,0.2395,0.0694,0.0216,0.0037,
"3",784672,0,0.664,0.3184,0.0176,613711,0.4196,0.5804,0.0737,0.4537,0.0442,0.0237,0.0041,
"4",784672,0,0.6541,0.3282,0.0178,629882,0.4518,0.5482,0.0826,0.4214,0.0335,0.0195,0.0019,
"5",784672,0,0.4317,0.554,0.0144,634064,0.6999,0.3001,0.0356,0.2173,0.0296,0.0169,0.0011,
"6",784672,0,0.3717,0.6125,0.0158,622681,0.8088,0.1912,0.0638,0.0866,0.0214,0.0196,0.0012,
"7",784672,0,0.5029,0.4744,0.0226,585236,0.5415,0.4585,0.1532,0.2244,0.0666,0.0256,0.003,
"8",784672,0,0.7304,0.2376,0.032,619604,0.5217,0.4783,0.1841,0.1399,0.1451,0.0194,0.0023,
"9",784672,0,0.2747,0.7138,0.0116,640412,0.8697,0.1303,0.0246,0.0641,0.0216,0.0174,0.0009,
"10",784672,0,0.5258,0.4428,0.0314,574013,0.5583,0.4417,0.1604,0.099,0.1693,0.0188,0.0021,
"11",784673,0,0.6518,0.3118,0.0364,605027,0.5125,0.4875,0.1284,0.0945,0.2541,0.0143,0.0022,
"",784672,0,0.5182,0.4606,0.0212,613187,0.6133,0.3867,0.0911,0.1988,0.0823,0.0195,0.0022,
