ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",784672,0,0.4574,0.524,0.0186,610718,0.7306,0.2694,0.0445,0.1417,0.0634,0.0184,0.0017,
"2",784672,0,0.5001,0.4797,0.0202,609706,0.6129,0.3871,0.0629,0.2395,0.0694,0.0216,0.0037,
"3",784672,0,0.68,0.2994,0.0206,613711,0.4196,0.5804,0.0737,0.4537,0.0442,0.0237,0.0041,
"4",784672,0,0.6705,0.3134,0.0161,629882,0.4518,0.5482,0.0826,0.4214,0.0335,0.0195,0.0019,
"5",784672,0,0.45,0.5324,0.0176,634064,0.6999,0.3001,0.0356,0.2173,0.0296,0.0169,0.0011,
"6",784672,0,0.3798,0.6008,0.0195,622681,0.8088,0.1912,0.0638,0.0866,0.0214,0.0196,0.0012,
"7",784672,0,0.524,0.4567,0.0193,585236,0.5415,0.4585,0.1532,0.2244,0.0666,0.0256,0.003,
"8",784672,0,0.7674,0.2112,0.0214,619604,0.5217,0.4783,0.1841,0.1399,0.1451,0.0194,0.0023,
"9",784672,0,0.2833,0.7022,0.0145,640412,0.8697,0.1303,0.0246,0.0641,0.0216,0.0174,0.0009,
"10",784672,0,0.5801,0.4001,0.0198,574013,0.5583,0.4417,0.1604,0.099,0.1693,0.0188,0.0021,
"11",784673,0,0.6945,0.2845,0.021,605027,0.5125,0.4875,0.1284,0.0945,0.2541,0.0143,0.0022,
"",784672,0,0.5411,0.44,0.0189,613187,0.6133,0.3867,0.0911,0.1988,0.0823,0.0195,0.0022,
