GEOID20,District
020130001001000,37
020130001001001,37
020130001001002,37
020130001001003,37
020130001001004,37
020130001001005,37
020130001001006,37
020130001001007,37
020130001001008,37
020130001001009,37
020130001001010,37
020130001001011,37
020130001001012,37
020130001001013,37
020130001001014,37
020130001001015,37
020130001001016,37
020130001001017,37
020130001001018,37
020130001001019,37
020130001001020,37
020130001001021,37
020130001001022,37
020130001001023,37
020130001001024,37
020130001001025,37
020130001001026,37
020130001001027,37
020130001001028,37
020130001001029,37
020130001001030,37
020130001001031,37
020130001001032,37
020130001001033,37
020130001001034,37
020130001001035,37
020130001001036,37
020130001001037,37
020130001001038,37
020130001001039,37
020130001001040,37
020130001001041,37
020130001001042,37
020130001001043,37
020130001001044,37
020130001001045,37
020130001001046,37
020130001001047,37
020130001001048,37
020130001001049,37
020130001001050,37
020130001001051,37
020130001001052,37
020130001001053,37
020130001001054,37
020130001001055,37
020130001001056,37
020130001001057,37
020130001001058,37
020130001001059,37
020130001001060,37
020130001001061,37
020130001001062,37
020130001001063,37
020130001001064,37
020130001001065,37
020130001001066,37
020130001001067,37
020130001001068,37
020130001001069,37
020130001001070,37
020130001001071,37
020130001001072,37
020130001001073,37
020130001001074,37
020130001001075,37
020130001001076,37
020130001001077,37
020130001001078,37
020130001001079,37
020130001001080,37
020130001001081,37
020130001001082,37
020130001001083,37
020130001001084,37
020130001001085,37
020130001001086,37
020130001001087,37
020130001001088,37
020130001001089,37
020130001001090,37
020130001001091,37
020130001001092,37
020130001001093,37
020130001001094,37
020130001001095,37
020130001001096,37
020130001001097,37
020130001001098,37
020130001001099,37
020130001001100,37
020130001001101,37
020130001001102,37
020130001001103,37
020130001001104,37
020130001001105,37
020130001001106,37
020130001001107,37
020130001001108,37
020130001001109,37
020130001001110,37
020130001001111,37
020130001001112,37
020130001001113,37
020130001001114,37
020130001001115,37
020130001001116,37
020130001001117,37
020130001001118,37
020130001001119,37
020130001001120,37
020130001001121,37
020130001001122,37
020130001001123,37
020130001001124,37
020130001001125,37
020130001001126,37
020130001001127,37
020130001001128,37
020130001001129,37
020130001001130,37
020130001001131,37
020130001001132,37
020130001001133,37
020130001001134,37
020130001001135,37
020130001001136,37
020130001001137,37
020130001001138,37
020130001001139,37
020130001001140,37
020130001001141,37
020130001001142,37
020130001001143,37
020130001001144,37
020130001001145,37
020130001001146,37
020130001001147,37
020130001001148,37
020130001001149,37
020130001001150,37
020130001001151,37
020130001001152,37
020130001001153,37
020130001001154,37
020130001001155,37
020130001001156,37
020130001001157,37
020130001001158,37
020130001001159,37
020130001001160,37
020130001001161,37
020130001001162,37
020130001001163,37
020130001001164,37
020130001001165,37
020130001001166,37
020130001001167,37
020130001001168,37
020130001001169,37
020130001001170,37
020130001001171,37
020130001001172,37
020130001001173,37
020130001001174,37
020130001001175,37
020130001001176,37
020130001001177,37
020130001001178,37
020130001001179,37
020130001001180,37
020130001001181,37
020130001001182,37
020130001001256,37
020130001001257,37
020130001001258,37
020130001001259,37
020130001001260,37
020130001001261,37
020130001001262,37
020130001001263,37
020130001001264,37
020130001001265,37
020130001001266,37
020130001001267,37
020130001001268,37
020130001001269,37
020130001001270,37
020130001001271,37
020130001001272,37
020130001001273,37
020130001001274,37
020130001001275,37
020130001001276,37
020130001001277,37
020130001001278,37
020130001001279,37
020130001001280,37
020130001001281,37
020130001001282,37
020130001001283,37
020130001001284,37
020130001001285,37
020130001001286,37
020130001001287,37
020130001001288,37
020130001001289,37
020130001001290,37
020130001001291,37
020130001001292,37
020130001001293,37
020130001001294,37
020130001001183,37
020130001001184,37
020130001001185,37
020130001001186,37
020130001001187,37
020130001001188,37
020130001001189,37
020130001001190,37
020130001001191,37
020130001001192,37
020130001001193,37
020130001001194,37
020130001001195,37
020130001001196,37
020130001001197,37
020130001001198,37
020130001001199,37
020130001001200,37
020130001001201,37
020130001001202,37
020130001001203,37
020130001001204,37
020130001001205,37
020130001001206,37
020130001001207,37
020130001001208,37
020130001001209,37
020130001001210,37
020130001001211,37
020130001001212,37
020130001001213,37
020130001001214,37
020130001001215,37
020130001001216,37
020130001001217,37
020130001001218,37
020130001001219,37
020130001001220,37
020130001001221,37
020130001001222,37
020130001001223,37
020130001001224,37
020130001001225,37
020130001001226,37
020130001001227,37
020130001001228,37
020130001001229,37
020130001001230,37
020130001001231,37
020130001001232,37
020130001001233,37
020130001001234,37
020130001001235,37
020130001001236,37
020130001001237,37
020130001001238,37
020130001001239,37
020130001001240,37
020130001001241,37
020130001001242,37
020130001001243,37
020130001001244,37
020130001001245,37
020130001001246,37
020130001001247,37
020130001001248,37
020130001001249,37
020130001001250,37
020130001001251,37
020130001001252,37
020130001001253,37
020130001001254,37
020130001001255,37
020130001002000,37
020130001002001,37
020130001002002,37
020130001002003,37
020130001002004,37
020130001002005,37
020130001002006,37
020130001002007,37
020130001002008,37
020130001002009,37
020130001002010,37
020130001002011,37
020130001002012,37
020130001002013,37
020130001002014,37
020130001002015,37
020130001002016,37
020130001002017,37
020130001002018,37
020130001002019,37
020130001002020,37
020130001002021,37
020130001002022,37
020130001002023,37
020130001002024,37
020130001002025,37
020130001002026,37
020130001002027,37
020130001002028,37
020130001002029,37
020130001002030,37
020130001002031,37
020130001002032,37
020130001002033,37
020130001002034,37
020130001002035,37
020130001002036,37
020130001002037,37
020130001002038,37
020130001002039,37
020130001002040,37
020130001002041,37
020130001002042,37
020130001002043,37
020130001002044,37
020130001002045,37
020130001002046,37
020130001002047,37
020130001002048,37
020130001002049,37
020130001002050,37
020130001002051,37
020130001002052,37
020130001002053,37
020130001002054,37
020130001002055,37
020130001002056,37
020130001002057,37
020130001002058,37
020130001002059,37
020130001002060,37
020130001002061,37
020130001002062,37
020130001002063,37
020130001002064,37
020130001002065,37
020130001002066,37
020130001002067,37
020130001002068,37
020130001002069,37
020130001002070,37
020130001002073,37
020130001002083,37
020130001002095,37
020130001002106,37
020130001002107,37
020130001002115,37
020130001002116,37
020130001002125,37
020130001002126,37
020130001002127,37
020130001002128,37
020130001002129,37
020130001002130,37
020130001002131,37
020130001002132,37
020130001002133,37
020130001002134,37
020130001002135,37
020130001002136,37
020130001002137,37
020130001002138,37
020130001002139,37
020130001002140,37
020130001002141,37
020130001002142,37
020130001002143,37
020130001002147,37
020130001002148,37
020130001002171,37
020130001002172,37
020130001002173,37
020130001002174,37
020130001002177,37
020130001002196,37
020130001002197,37
020130001002198,37
020130001002202,37
020130001003000,37
020130001003001,37
020130001003002,37
020130001003003,37
020130001003004,37
020130001003005,37
020130001003006,37
020130001003007,37
020130001003008,37
020130001003009,37
020130001003010,37
020130001003011,37
020130001003012,37
020130001003013,37
020130001003014,37
020130001003015,37
020130001003016,37
020130001003017,37
020130001003018,37
020130001003019,37
020130001003020,37
020130001003021,37
020130001003022,37
020130001003023,37
020130001003024,37
020130001003025,37
020130001003026,37
020130001003027,37
020130001003028,37
020130001003029,37
020130001003030,37
020130001003031,37
020130001003032,37
020130001003033,37
020130001003034,37
020130001003035,37
020130001003036,37
020130001003037,37
020130001003038,37
020130001003039,37
020130001003040,37
020130001003041,37
020130001003042,37
020130001003043,37
020130001003044,37
020130001003045,37
020130001003046,37
020130001003047,37
020130001003048,37
020130001003049,37
020130001003050,37
020130001003051,37
020130001003052,37
020130001003053,37
020130001003054,37
020130001003055,37
020130001003056,37
020130001003057,37
020130001003058,37
020130001003059,37
020130001003060,37
020130001003061,37
020130001003062,37
020130001003063,37
020130001003064,37
020130001003065,37
020130001003066,37
020130001003067,37
020130001003068,37
020130001003069,37
020130001003070,37
020130001003071,37
020130001003072,37
020130001003073,37
020130001003074,37
020130001003075,37
020130001003076,37
020130001003077,37
020130001003078,37
020130001003079,37
020130001003080,37
020130001003081,37
020130001003082,37
020130001003083,37
020130001003084,37
020130001003085,37
020130001003086,37
020130001003087,37
020130001003088,37
020130001003089,37
020130001003090,37
020130001003091,37
020130001003092,37
020130001003093,37
020130001003094,37
020130001003095,37
020130001003096,37
020130001003097,37
020130001003098,37
020130001003099,37
020130001003100,37
020130001003101,37
020130001003102,37
020130001003103,37
020130001003104,37
020130001003105,37
020130001003106,37
020130001003107,37
020130001003108,37
020130001003109,37
020130001003110,37
020130001003111,37
020130001002071,37
020130001002072,37
020130001002074,37
020130001002075,37
020130001002076,37
020130001002077,37
020130001002078,37
020130001002079,37
020130001002080,37
020130001002081,37
020130001002082,37
020130001002084,37
020130001002085,37
020130001002086,37
020130001002087,37
020130001002088,37
020130001002089,37
020130001002090,37
020130001002091,37
020130001002092,37
020130001002093,37
020130001002094,37
020130001002096,37
020130001002097,37
020130001002098,37
020130001002099,37
020130001002100,37
020130001002101,37
020130001002102,37
020130001002103,37
020130001002104,37
020130001002105,37
020130001002108,37
020130001002109,37
020130001002110,37
020130001002111,37
020130001002112,37
020130001002113,37
020130001002114,37
020130001002117,37
020130001002118,37
020130001002119,37
020130001002120,37
020130001002121,37
020130001002122,37
020130001002123,37
020130001002124,37
020130001002144,37
020130001002145,37
020130001002146,37
020130001002149,37
020130001002150,37
020130001002151,37
020130001002152,37
020130001002153,37
020130001002154,37
020130001002155,37
020130001002156,37
020130001002157,37
020130001002158,37
020130001002159,37
020130001002160,37
020130001002161,37
020130001002162,37
020130001002163,37
020130001002164,37
020130001002165,37
020130001002166,37
020130001002167,37
020130001002168,37
020130001002169,37
020130001002170,37
020130001002175,37
020130001002176,37
020130001002178,37
020130001002179,37
020130001002180,37
020130001002181,37
020130001002182,37
020130001002183,37
020130001002184,37
020130001002185,37
020130001002186,37
020130001002187,37
020130001002188,37
020130001002189,37
020130001002190,37
020130001002191,37
020130001002192,37
020130001002193,37
020130001002194,37
020130001002195,37
020130001002199,37
020130001002200,37
020130001002201,37
020160001001000,37
020160001001001,37
020160001001296,37
020160001001297,37
020160001001298,37
020160001001299,37
020160001001300,37
020160001001397,37
020160001001398,37
020160001001399,37
020160001001400,37
020160001001401,37
020160001001402,37
020160001001403,37
020160001001404,37
020160001001405,37
020160001001406,37
020160001001407,37
020160001001408,37
020160001001409,37
020160001001410,37
020160001001411,37
020160001001412,37
020160001001413,37
020160001001414,37
020160001001415,37
020160001001416,37
020160001001417,37
020160001001418,37
020160001001419,37
020160001001420,37
020160001001421,37
020160001001422,37
020160001001423,37
020160001001424,37
020160001001425,37
020160001001436,37
020160001001437,37
020160001001467,37
020160001001002,37
020160001001003,37
020160001001004,37
020160001001005,37
020160001001006,37
020160001001007,37
020160001001008,37
020160001001009,37
020160001001010,37
020160001001011,37
020160001001012,37
020160001001013,37
020160001001014,37
020160001001015,37
020160001001016,37
020160001001017,37
020160001001018,37
020160001001019,37
020160001001020,37
020160001001021,37
020160001001022,37
020160001001023,37
020160001001024,37
020160001001025,37
020160001001026,37
020160001001027,37
020160001001028,37
020160001001029,37
020160001001030,37
020160001001031,37
020160001001032,37
020160001001033,37
020160001001034,37
020160001001035,37
020160001001036,37
020160001001037,37
020160001001038,37
020160001001039,37
020160001001040,37
020160001001041,37
020160001001042,37
020160001001043,37
020160001001044,37
020160001001045,37
020160001001046,37
020160001001047,37
020160001001048,37
020160001001049,37
020160001001050,37
020160001001051,37
020160001001052,37
020160001001053,37
020160001001054,37
020160001001055,37
020160001001056,37
020160001001057,37
020160001001058,37
020160001001059,37
020160001001060,37
020160001001061,37
020160001001062,37
020160001001063,37
020160001001064,37
020160001001065,37
020160001001066,37
020160001001067,37
020160001001068,37
020160001001069,37
020160001001070,37
020160001001071,37
020160001001072,37
020160001001073,37
020160001001074,37
020160001001075,37
020160001001076,37
020160001001077,37
020160001001078,37
020160001001079,37
020160001001080,37
020160001001081,37
020160001001082,37
020160001001083,37
020160001001084,37
020160001001085,37
020160001001086,37
020160001001087,37
020160001001088,37
020160001001089,37
020160001001090,37
020160001001091,37
020160001001092,37
020160001001093,37
020160001001094,37
020160001001095,37
020160001001096,37
020160001001097,37
020160001001098,37
020160001001099,37
020160001001100,37
020160001001101,37
020160001001102,37
020160001001103,37
020160001001104,37
020160001001105,37
020160001001106,37
020160001001107,37
020160001001108,37
020160001001109,37
020160001001110,37
020160001001111,37
020160001001112,37
020160001001113,37
020160001001114,37
020160001001115,37
020160001001116,37
020160001001117,37
020160001001118,37
020160001001119,37
020160001001120,37
020160001001121,37
020160001001122,37
020160001001123,37
020160001001124,37
020160001001125,37
020160001001126,37
020160001001127,37
020160001001128,37
020160001001129,37
020160001001130,37
020160001001131,37
020160001001132,37
020160001001133,37
020160001001134,37
020160001001135,37
020160001001136,37
020160001001137,37
020160001001138,37
020160001001139,37
020160001001140,37
020160001001141,37
020160001001142,37
020160001001143,37
020160001001144,37
020160001001145,37
020160001001146,37
020160001001147,37
020160001001148,37
020160001001149,37
020160001001150,37
020160001001151,37
020160001001152,37
020160001001153,37
020160001001154,37
020160001001155,37
020160001001156,37
020160001001157,37
020160001001158,37
020160001001159,37
020160001001160,37
020160001001161,37
020160001001162,37
020160001001163,37
020160001001164,37
020160001001165,37
020160001001166,37
020160001001167,37
020160001001168,37
020160001001169,37
020160001001170,37
020160001001171,37
020160001001172,37
020160001001173,37
020160001001174,37
020160001001175,37
020160001001176,37
020160001001177,37
020160001001178,37
020160001001179,37
020160001001180,37
020160001001181,37
020160001001182,37
020160001001183,37
020160001001184,37
020160001001185,37
020160001001186,37
020160001001187,37
020160001001188,37
020160001001189,37
020160001001190,37
020160001001191,37
020160001001192,37
020160001001193,37
020160001001194,37
020160001001195,37
020160001001196,37
020160001001197,37
020160001001198,37
020160001001199,37
020160001001200,37
020160001001201,37
020160001001202,37
020160001001203,37
020160001001204,37
020160001001205,37
020160001001206,37
020160001001207,37
020160001001208,37
020160001001209,37
020160001001210,37
020160001001211,37
020160001001212,37
020160001001213,37
020160001001214,37
020160001001215,37
020160001001216,37
020160001001217,37
020160001001218,37
020160001001219,37
020160001001220,37
020160001001221,37
020160001001222,37
020160001001223,37
020160001001224,37
020160001001225,37
020160001001226,37
020160001001227,37
020160001001228,37
020160001001229,37
020160001001230,37
020160001001231,37
020160001001232,37
020160001001233,37
020160001001234,37
020160001001235,37
020160001001236,37
020160001001237,37
020160001001238,37
020160001001239,37
020160001001240,37
020160001001241,37
020160001001242,37
020160001001243,37
020160001001244,37
020160001001245,37
020160001001246,37
020160001001247,37
020160001001248,37
020160001001249,37
020160001001250,37
020160001001251,37
020160001001252,37
020160001001253,37
020160001001254,37
020160001001255,37
020160001001256,37
020160001001257,37
020160001001258,37
020160001001259,37
020160001001260,37
020160001001261,37
020160001001262,37
020160001001263,37
020160001001264,37
020160001001265,37
020160001001266,37
020160001001267,37
020160001001268,37
020160001001269,37
020160001001270,37
020160001001271,37
020160001001272,37
020160001001273,37
020160001001274,37
020160001001275,37
020160001001276,37
020160001001277,37
020160001001278,37
020160001001279,37
020160001001280,37
020160001001281,37
020160001001282,37
020160001001283,37
020160001001284,37
020160001001285,37
020160001001286,37
020160001001287,37
020160001001288,37
020160001001289,37
020160001001290,37
020160001001291,37
020160001001292,37
020160001001293,37
020160001001294,37
020160001001295,37
020160001001301,37
020160001001302,37
020160001001303,37
020160001001304,37
020160001001305,37
020160001001306,37
020160001001307,37
020160001001308,37
020160001001309,37
020160001001310,37
020160001001311,37
020160001001312,37
020160001001313,37
020160001001314,37
020160001001315,37
020160001001316,37
020160001001317,37
020160001001318,37
020160001001319,37
020160001001320,37
020160001001321,37
020160001001322,37
020160001001323,37
020160001001324,37
020160001001325,37
020160001001326,37
020160001001327,37
020160001001328,37
020160001001329,37
020160001001330,37
020160001001331,37
020160001001332,37
020160001001333,37
020160001001334,37
020160001001348,37
020160001001349,37
020160001001350,37
020160001001351,37
020160001001352,37
020160001001353,37
020160001001354,37
020160001001355,37
020160001001356,37
020160001001357,37
020160001001358,37
020160001001359,37
020160001001360,37
020160001001361,37
