ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",786630,0,0.4931,0.4914,0.0155,606393,0.7225,0.2775,0.031,0.1838,0.0437,0.0167,0.0012,
"2",786629,0,0.295,0.6913,0.0138,616067,0.9215,0.0785,0.0126,0.0283,0.0098,0.0226,0.0007,
"3",786630,0,0.7114,0.2737,0.0149,615714,0.5946,0.4054,0.0533,0.2722,0.0654,0.0173,0.0015,
"4",786630,0,0.29,0.694,0.0159,601807,0.8775,0.1225,0.022,0.0606,0.016,0.0189,0.0016,
"5",786630,0,0.3861,0.5979,0.016,617589,0.8476,0.1524,0.0614,0.0568,0.0136,0.0191,0.0009,
"6",786630,0,0.3436,0.6424,0.014,619332,0.8755,0.1245,0.0262,0.0683,0.0068,0.0188,0.0008,
"7",786630,0,0.446,0.5418,0.0122,627367,0.8802,0.1198,0.0303,0.0357,0.0339,0.0145,0.0009,
"8",786630,0,0.419,0.5662,0.0147,606853,0.7634,0.2366,0.0382,0.1357,0.0415,0.0187,0.0016,
"9",786630,0,0.458,0.5253,0.0167,611413,0.7828,0.2172,0.0568,0.1239,0.0165,0.0192,0.0008,
"10",786629,0,0.4629,0.5205,0.0166,614280,0.7389,0.2611,0.0332,0.1735,0.0315,0.0218,0.0015,
"11",786630,0,0.7827,0.2068,0.0105,622351,0.4452,0.5548,0.0688,0.4434,0.0364,0.0149,0.0013,
"12",786630,0,0.3478,0.6372,0.015,596931,0.8797,0.1203,0.0168,0.0458,0.033,0.0194,0.0009,
"13",786630,0,0.5225,0.4633,0.0142,624573,0.7791,0.2209,0.0224,0.1382,0.037,0.0192,0.0009,
"14",786630,0,0.4084,0.5785,0.0131,627650,0.8857,0.1143,0.0248,0.0521,0.0124,0.0175,0.0007,
"15",786630,0,0.4554,0.5288,0.0158,599242,0.7685,0.2315,0.0493,0.1155,0.045,0.0213,0.0012,
"",786629,0,0.4525,0.5329,0.0146,613837,0.784,0.216,0.0365,0.1291,0.0294,0.0186,0.0011,
