ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",769221,0,0.3289,0.651,0.0201,605557,0.7216,0.2784,0.0669,0.1354,0.0424,0.0318,0.0038,
"2",769221,0,0.4387,0.5482,0.0131,619356,0.6548,0.3452,0.0642,0.2309,0.0278,0.0234,0.0018,
"3",769221,0,0.4235,0.5642,0.0123,624295,0.6773,0.3227,0.1064,0.1588,0.0389,0.0195,0.0016,
"4",769221,0,0.4592,0.5261,0.0147,590934,0.5533,0.4467,0.0782,0.3166,0.0358,0.0216,0.0027,
"5",769221,0,0.4136,0.571,0.0154,606741,0.6749,0.3251,0.1086,0.128,0.0704,0.0183,0.0027,
"6",769221,0,0.3766,0.6129,0.0105,634516,0.7476,0.2524,0.0978,0.1122,0.0206,0.0206,0.0016,
"7",769221,0,0.4657,0.521,0.0133,616306,0.6459,0.3541,0.1897,0.1053,0.0472,0.0195,0.002,
"8",769221,0,0.4052,0.5812,0.0136,633719,0.7491,0.2509,0.1005,0.0968,0.0318,0.0202,0.0021,
"9",769221,0,0.581,0.4071,0.012,593636,0.3234,0.6766,0.5004,0.1302,0.052,0.0189,0.0031,
"10",769221,0,0.6512,0.3344,0.0144,610303,0.3853,0.6147,0.2863,0.2598,0.0609,0.0175,0.0029,
"11",769221,0,0.4408,0.5494,0.0098,618709,0.6327,0.3673,0.1709,0.1276,0.0461,0.0177,0.0019,
"12",769221,0,0.3507,0.6373,0.0119,626932,0.7831,0.2169,0.1172,0.0529,0.0251,0.0213,0.0016,
"13",769221,0,0.4599,0.5272,0.0128,650487,0.7719,0.2281,0.0956,0.0709,0.041,0.0181,0.0019,
"14",769221,0,0.588,0.3971,0.0149,620281,0.4942,0.5058,0.2597,0.1913,0.0501,0.0163,0.0018,
"15",769221,0,0.4773,0.5087,0.014,599800,0.5492,0.4508,0.2274,0.154,0.0602,0.0206,0.0021,
"16",769221,0,0.4494,0.5382,0.0123,607353,0.6451,0.3549,0.1867,0.1198,0.036,0.0185,0.0018,
"17",769221,0,0.4156,0.5749,0.0095,654821,0.7908,0.2092,0.1154,0.0556,0.0199,0.015,0.0011,
"18",769221,0,0.3803,0.6081,0.0115,603562,0.598,0.402,0.2368,0.1321,0.02,0.0213,0.0016,
"19",769221,0,0.3912,0.6013,0.0075,650465,0.7407,0.2593,0.1622,0.0607,0.0222,0.0127,0.0012,
"20",769221,0,0.7573,0.2347,0.008,595408,0.2354,0.7646,0.2298,0.5011,0.0337,0.0119,0.0021,
"21",769221,0,0.4487,0.5429,0.0084,629736,0.6809,0.3191,0.1514,0.1248,0.028,0.0155,0.0016,
"22",769220,0,0.5839,0.4081,0.008,625981,0.5532,0.4468,0.2465,0.1588,0.0335,0.0152,0.0015,
"23",769221,0,0.5621,0.4303,0.0077,632647,0.5841,0.4159,0.2051,0.1317,0.0443,0.0106,0.0015,
"24",769221,0,0.7411,0.2515,0.0074,611792,0.1823,0.8177,0.3846,0.4217,0.0222,0.0092,0.0013,
"25",769221,0,0.5954,0.3966,0.008,607264,0.3435,0.6565,0.4226,0.1752,0.0602,0.0126,0.0018,
"26",769221,0,0.4073,0.5858,0.0069,623498,0.1968,0.8032,0.7322,0.0692,0.0152,0.0087,0.0008,
"27",769221,0,0.4945,0.498,0.0075,636002,0.1688,0.8312,0.7418,0.0707,0.0262,0.0086,0.0009,
"28",769221,0,0.4639,0.5286,0.0075,609131,0.1523,0.8477,0.7335,0.1032,0.0223,0.0115,0.001,
"",769219,0,0.4776,0.5111,0.0113,619258,0.5465,0.4535,0.2499,0.1554,0.0368,0.017,0.0018,
