ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"1",769221,0,0.2831,0.6624,0.0545,605557,0.7216,0.2784,0.0669,0.1354,0.0424,0.0318,0.0038,
"2",769221,0,0.4198,0.5378,0.0424,619356,0.6548,0.3452,0.0642,0.2309,0.0278,0.0234,0.0018,
"3",769221,0,0.4059,0.5532,0.0409,624295,0.6773,0.3227,0.1064,0.1588,0.0389,0.0195,0.0016,
"4",769221,0,0.4285,0.5336,0.0379,590934,0.5533,0.4467,0.0782,0.3166,0.0358,0.0216,0.0027,
"5",769221,0,0.3661,0.5849,0.049,606741,0.6749,0.3251,0.1086,0.128,0.0704,0.0183,0.0027,
"6",769221,0,0.3646,0.5987,0.0367,634516,0.7476,0.2524,0.0978,0.1122,0.0206,0.0206,0.0016,
"7",769221,0,0.4372,0.5137,0.0492,616306,0.6459,0.3541,0.1897,0.1053,0.0472,0.0195,0.002,
"8",769220,0,0.4074,0.5394,0.0532,627948,0.6849,0.3151,0.1424,0.1088,0.0455,0.0208,0.0025,
"9",769221,0,0.4712,0.4923,0.0365,606265,0.4916,0.5084,0.3639,0.1067,0.0352,0.0184,0.0021,
"10",769221,0,0.6456,0.3063,0.0481,605765,0.3583,0.6417,0.3041,0.2784,0.0528,0.018,0.0028,
"11",769221,0,0.4203,0.5432,0.0364,622027,0.6182,0.3818,0.1982,0.1076,0.0529,0.017,0.0023,
"12",769221,0,0.4559,0.4983,0.0458,611856,0.5889,0.4111,0.2481,0.107,0.0466,0.019,0.0018,
"13",769221,0,0.4291,0.5203,0.0506,643737,0.7687,0.2313,0.1028,0.0643,0.0435,0.0186,0.0018,
"14",769221,0,0.4482,0.5022,0.0496,595835,0.5517,0.4483,0.2602,0.134,0.0467,0.0207,0.0023,
"15",769221,0,0.43,0.5271,0.0429,619782,0.6391,0.3609,0.1495,0.1505,0.0471,0.0194,0.0018,
"16",769221,0,0.4509,0.5064,0.0427,635485,0.7067,0.2933,0.1291,0.1198,0.027,0.0162,0.0014,
"17",769221,0,0.408,0.5552,0.0368,655953,0.7812,0.2188,0.11,0.0694,0.0209,0.0152,0.0011,
"18",769221,0,0.4332,0.5246,0.0422,599646,0.5625,0.4375,0.2492,0.1531,0.0255,0.0215,0.0019,
"19",769221,0,0.3663,0.6017,0.032,645329,0.726,0.274,0.1892,0.0507,0.0211,0.0124,0.0011,
"20",769221,0,0.745,0.2308,0.0242,613033,0.3012,0.6988,0.2326,0.4208,0.0368,0.0114,0.0019,
"21",769221,0,0.4343,0.5313,0.0344,627454,0.6752,0.3248,0.1507,0.1311,0.0284,0.0154,0.0017,
"22",769221,0,0.5178,0.4511,0.0311,595366,0.4896,0.5104,0.3099,0.1357,0.0492,0.013,0.0016,
"23",769221,0,0.6374,0.3349,0.0276,620743,0.4758,0.5242,0.259,0.2314,0.0297,0.0164,0.0017,
"24",769221,0,0.8364,0.1411,0.0225,605907,0.116,0.884,0.4092,0.4772,0.0214,0.0111,0.0015,
"25",769221,0,0.5442,0.4275,0.0283,648772,0.5899,0.4101,0.2774,0.0742,0.032,0.0098,0.0013,
"26",769221,0,0.5855,0.3863,0.0282,615491,0.1254,0.8746,0.7427,0.1066,0.0388,0.0076,0.001,
"27",769221,0,0.5707,0.3953,0.034,636033,0.1679,0.8321,0.7428,0.0706,0.0262,0.0086,0.0009,
"28",769221,0,0.559,0.4059,0.0351,609100,0.1532,0.8468,0.7325,0.1033,0.0223,0.0114,0.001,
