Id,District
190019601001000,10
190019601001001,10
190019601001002,10
190019601001003,10
190019601001004,10
190019601001005,10
190019601001006,10
190019601001007,10
190019601001013,10
190019601001014,10
190019601001086,10
190019601001087,10
190019601001088,10
190019601001089,10
190019601001090,10
190019601001091,10
190019601001092,10
190019601001095,10
190019601001106,10
190019601001107,10
190019601001108,10
190019601001109,10
190019601001110,10
190019601001111,10
190019601001112,10
190019601001113,10
190019601001114,10
190019601001115,10
190019601001116,10
190019601001118,10
190019601001119,10
190019601001120,10
190019601001121,10
190019601001122,10
190019601001123,10
190019601001124,10
190019601001125,10
190019601001126,10
190019601001127,10
190019601001128,10
190019601001129,10
190019601001130,10
190019601001131,10
190019601001132,10
190019601001133,10
190019601001134,10
190019601001135,10
190019601001136,10
190019601001137,10
190019601001138,10
190019601001139,10
190019601001140,10
190019601001141,10
190019601001142,10
190019601001143,10
190019601001144,10
190019601001145,10
190019601001146,10
190019601001162,10
190019601001163,10
190019601001164,10
190019601001165,10
190019601001166,10
190019601001170,10
190019601001171,10
190019601001172,10
190019601001173,10
190019601001174,10
190019601001175,10
190019601001176,10
190019601001177,10
190019601001178,10
190019601001179,10
190019601001180,10
190019601001181,10
190019601001182,10
190019601001183,10
190019601001184,10
190019601001185,10
190019601001186,10
190019601001187,10
190019601001188,10
190019601001241,10
190019601001242,10
190019601001008,10
190019601001009,10
190019601001010,10
190019601001011,10
190019601001012,10
190019601001024,10
190019601001025,10
190019601001026,10
190019601001027,10
190019601001028,10
190019601001029,10
190019601001030,10
190019601001031,10
190019601001032,10
190019601001033,10
190019601001034,10
190019601001035,10
190019601001036,10
190019601001037,10
190019601001038,10
190019601001039,10
190019601001040,10
190019601001041,10
190019601001042,10
190019601001043,10
190019601001044,10
190019601001045,10
190019601001046,10
190019601001047,10
190019601001048,10
190019601001049,10
190019601001050,10
190019601001051,10
190019601001052,10
190019601001053,10
190019601001054,10
190019601001055,10
190019601001056,10
190019601001057,10
190019601001058,10
190019601001059,10
190019601001060,10
190019601001061,10
190019601001062,10
190019601001063,10
190019601001064,10
190019601001065,10
190019601001066,10
190019601001067,10
190019601001068,10
190019601001069,10
190019601001070,10
190019601001071,10
190019601001072,10
190019601001073,10
190019601001074,10
190019601001075,10
190019601001076,10
190019601001077,10
190019601001078,10
190019601001079,10
190019601001080,10
190019601001081,10
190019601001082,10
190019601001083,10
190019601001084,10
190019601001085,10
190019601001093,10
190019601001094,10
190019601001101,10
190019601001102,10
190019601001103,10
190019601001104,10
190019601001105,10
190019601001117,10
190019601001364,10
190019601001365,10
190019601001366,10
190019601001369,10
190019601001015,10
190019601001016,10
190019601001017,10
190019601001018,10
190019601001019,10
190019601001020,10
190019601001021,10
190019601001022,10
190019601001023,10
190019601001096,10
190019601001097,10
190019601001098,10
190019601001099,10
190019601001100,10
190019601001147,10
190019601001148,10
190019601001149,10
190019601001150,10
190019601001151,10
190019601001152,10
190019601001153,10
190019601001154,10
190019601001155,10
190019601001156,10
190019601001157,10
190019601001158,10
190019601001159,10
190019601001160,10
190019601001161,10
190019601001167,10
190019601001168,10
190019601001169,10
190019601001193,10
190019601001194,10
190019601001195,10
190019601001196,10
190019601001197,10
190019601001198,10
190019601001199,10
190019601001200,10
190019601001201,10
190019601001202,10
190019601001203,10
190019601001204,10
190019601001205,10
190019601001206,10
190019601001207,10
190019601001208,10
190019601001209,10
190019601001210,10
190019601001220,10
190019601001367,10
190019601001368,10
190019601001370,10
190019601002000,10
190019601002001,10
190019601002002,10
190019601002100,10
190019601002101,10
190019601002148,10
190019601002149,10
190019601002150,10
190019601002151,10
190019601002152,10
190019601002153,10
190019601002154,10
190019601002155,10
190019601002156,10
190019601002157,10
190019601002158,10
190019601002159,10
190019601002160,10
190019601002161,10
190019601002162,10
190019601002163,10
190019601002164,10
190019601002165,10
190019601002166,10
190019601002167,10
190019601002168,10
190019601002169,10
190019601002170,10
190019601002171,10
190019601002172,10
190019601002173,10
190019601002174,10
190019601002175,10
190019601002176,10
190019601002177,10
190019601002178,10
190019601002179,10
190019601002180,10
190019601002181,10
190019601002182,10
190019601002183,10
190019601002252,10
190019601001189,10
190019601001233,10
190019601001234,10
190019601001235,10
190019601001236,10
190019601001237,10
190019601001238,10
190019601001239,10
190019601001240,10
190019601001243,10
190019601001244,10
190019601001245,10
190019601001246,10
190019601001247,10
190019601001248,10
190019601001249,10
190019601001250,10
190019601001251,10
190019601001252,10
190019601001253,10
190019601001254,10
190019601001255,10
190019601001256,10
190019601001257,10
190019601001258,10
190019601001259,10
190019601001260,10
190019601001261,10
190019601001262,10
190019601001263,10
190019601001264,10
190019601001265,10
190019601001266,10
190019601001267,10
190019601001268,10
190019601001269,10
190019601001270,10
190019601001333,10
190019601001335,10
190019601001336,10
190019601001337,10
190019601001349,10
190019601001350,10
190019601001351,10
190019601001352,10
190019601001353,10
190019601001354,10
190019601001355,10
190019601001356,10
190019602001000,10
190019602001001,10
190019602001002,10
190019602001003,10
190019602001004,10
190019602001005,10
190019602001006,10
190019602001007,10
190019602001008,10
190019602001009,10
190019602001010,10
190019601001190,10
190019601001191,10
190019601001192,10
190019601001211,10
190019601001212,10
190019601001213,10
190019601001214,10
190019601001215,10
190019601001216,10
190019601001217,10
190019601001218,10
190019601001219,10
190019601001221,10
190019601001222,10
190019601001223,10
190019601001224,10
190019601001225,10
190019601001226,10
190019601001227,10
190019601001228,10
190019601001229,10
190019601001230,10
190019601001231,10
190019601001232,10
190019601001271,10
190019601001272,10
190019601001273,10
190019601001274,10
190019601001275,10
190019601001276,10
190019601001277,10
190019601001278,10
190019601001279,10
190019601001280,10
190019601001281,10
190019601001282,10
190019601001283,10
190019601001284,10
190019601001285,10
190019601001286,10
190019601001287,10
190019601001288,10
190019601001289,10
190019601001311,10
190019601001312,10
190019601001313,10
190019601001314,10
190019601001315,10
190019601001316,10
190019601001322,10
190019601001323,10
190019601001324,10
190019601001325,10
190019601001326,10
190019601001327,10
190019601001328,10
190019601001329,10
190019601001330,10
190019601001331,10
190019601001332,10
190019601001334,10
190019601001346,10
190019601001347,10
190019601001348,10
190019602001011,10
