Id,District
540019655004070,1
540019655004071,1
540019655004072,1
540019655004075,1
540019655004077,1
540019655004087,1
540019655004089,1
540019658002036,1
540019658002037,1
540019658002038,1
540019658002039,1
540019658002040,1
540019658002041,1
540019658002042,1
540019658002043,1
540019658002044,1
540019658002045,1
540019658002046,1
540019658002047,1
540019658002048,1
540019658002049,1
540019658002052,1
540019658002053,1
540019658002054,1
540019658004038,1
540019658004040,1
540019658004043,1
540019658004044,1
540019658004045,1
540019658004046,1
540019658004047,1
540019658004048,1
540019658004050,1
540019658004051,1
540019658004052,1
540019658004053,1
540019658004054,1
540019658004055,1
540019658004056,1
540019658004057,1
540019658004058,1
540019658004059,1
540019658004060,1
540019658004061,1
540019658004062,1
540019658004063,1
540019658004064,1
540019658004065,1
540019658004066,1
540019658004067,1
540019658004068,1
540019658004069,1
540019658004070,1
540019658004071,1
540019658004072,1
540019658004073,1
540019658004077,1
540019658004079,1
540019658004081,1
540019658004083,1
540019658004084,1
540019658004085,1
540019655004034,1
540019655004035,1
540019655004036,1
540019655004037,1
540019655004038,1
540019655004039,1
540019655004040,1
540019655004041,1
540019655004042,1
540019655004043,1
540019655004044,1
540019655004045,1
540019655004046,1
540019655004047,1
540019655004048,1
540019655004049,1
540019655004050,1
540019655004051,1
540019655004052,1
540019655004053,1
540019655004054,1
540019655004055,1
540019655004056,1
540019655004057,1
540019655004058,1
540019655004059,1
540019655004060,1
540019655004061,1
540019655004062,1
540019655004063,1
540019655004064,1
540019655004065,1
540019655004066,1
540019655004067,1
540019655004068,1
540019655004069,1
540019655004073,1
540019655004074,1
540019655004076,1
540019655004078,1
540019655004079,1
540019655004080,1
540019655004081,1
540019655004082,1
540019655004083,1
540019655004084,1
540019655004085,1
540019655004086,1
540019655004088,1
540019658002000,1
540019658002001,1
540019658002002,1
540019658002003,1
540019658002004,1
540019658002005,1
540019658002006,1
540019658002007,1
540019658002008,1
540019658002009,1
540019658002010,1
540019658002011,1
540019658002012,1
540019658002013,1
540019658002014,1
540019658002015,1
540019658002016,1
540019658002017,1
540019658002018,1
540019658002019,1
540019658002020,1
540019658002021,1
540019658002022,1
540019658002023,1
540019658002024,1
540019658002025,1
540019658002026,1
540019658002027,1
540019658002028,1
540019658002029,1
540019658002030,1
540019658002031,1
540019658002032,1
540019658002033,1
