ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"1",786630,0,0.5417,0.4583,0,607689,0.7023,0.2977,0.0332,0.1965,0.0499,0.0161,0.0015,
"2",786629,0,0.2963,0.7037,0,609599,0.9243,0.0757,0.012,0.027,0.0082,0.0227,0.0007,
"3",786630,0,0.7178,0.2822,0,615714,0.5946,0.4054,0.0533,0.2722,0.0654,0.0173,0.0015,
"4",786630,0,0.334,0.666,0,600351,0.8685,0.1315,0.0204,0.0564,0.0317,0.018,0.001,
"5",786630,0,0.3861,0.6139,0,612230,0.8604,0.1396,0.0602,0.0471,0.0125,0.0182,0.0015,
"6",786630,0,0.3762,0.6238,0,628719,0.8737,0.1263,0.0258,0.0695,0.0074,0.0192,0.0008,
"7",786630,0,0.4822,0.5178,0,623729,0.8805,0.1195,0.0305,0.0358,0.0338,0.014,0.0008,
"8",786629,0,0.3876,0.6124,0,603741,0.7744,0.2256,0.0395,0.1292,0.0349,0.0199,0.0015,
"9",786630,0,0.5021,0.4979,0,613653,0.777,0.223,0.0588,0.1263,0.0172,0.0196,0.0008,
"10",786630,0,0.4796,0.5204,0,616057,0.7352,0.2648,0.0313,0.1793,0.0312,0.0217,0.0016,
"11",786630,0,0.7958,0.2042,0,622351,0.4452,0.5548,0.0688,0.4434,0.0364,0.0149,0.0013,
"12",786630,0,0.3655,0.6345,0,603837,0.8954,0.1046,0.0159,0.045,0.0184,0.0203,0.0009,
"13",786630,0,0.5296,0.4704,0,621319,0.7871,0.2129,0.0216,0.1335,0.0342,0.0192,0.0008,
"14",786630,0,0.4492,0.5508,0,629265,0.878,0.122,0.0252,0.0568,0.015,0.0177,0.0008,
"15",786630,0,0.4746,0.5254,0,599308,0.7663,0.2337,0.0509,0.115,0.0465,0.0208,0.0013,
